Country Name	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Afghanistan	0.0498358609	0.068552416	0.0689711998	0.0801671385	0.0942630961	0.0999994143	0.1149668173	0.1073328927	0.0807073569	0.1397547127	0.1544710664	0.1217122419	0.126913331	0.1450280885	0.1574805132	0.1435304808	0.168398599	0.1483720845	0.1501150167	0.1150191599	0.1266996863	0.1311542043	0.1539094739	0.1687887653	0.2044972604	0.1793926114	0.1747074795	0.1570821475	0.1489581019	0.1407146399	0.126777368	0.0701453384	0.0654028805	0.0607273744	0.0564513714	0.0518392192	0.0468270267	0.0431050137	0.0330121232	0.0300981293	0.0241743117	0.0130842573	0.0206348671	0.0242207357	0.0234207619	0.022656662	0.0226126578	0.0250348301			
Albania	1.3730626467	1.4389099846	1.1803605704	1.1099291288	1.1628868703	1.3272185598	1.3564712014	1.5142782241	1.5583844024	1.7531413903	1.9887734448	2.5176013094	2.3060802466	1.8509891136	1.913840839	2.0170886888	2.2808854454	2.5347190863	2.8996506824	1.9355632089	2.6940388524	2.631175133	2.6948742832	2.7068028962	2.6646411194	2.6559034718	2.3889565146	2.2932709914	2.759379322	2.2763498094	1.2064790328	0.7307099547	0.7265999793	0.6066605398	0.6642646434	0.6479637422	0.4993065757	0.5692773422	0.9738170516	0.9860299441	1.0497985623	1.2141134412	1.3810115618	1.2814534791	1.4647924757	1.3405907039	1.4137374139	1.3128550131			
Algeria	0.55105067	0.5057324165	0.4751977634	0.4848471094	0.5532946317	0.6893323248	0.6714135922	0.6999485225	0.8453478011	1.0966706035	1.3178627194	1.9416642084	2.5453010692	2.0552876466	1.9996788028	2.3692087791	2.4543758889	3.5478326055	2.505903556	3.5361584341	2.3885339806	1.9541496248	2.5345907412	3.3174496234	3.2937506318	3.3523295372	3.5951487426	3.4927315674	3.2449577795	3.1185002345	3.1414183882	3.0974435959	3.0355094385	3.1116085331	3.3470348486	3.3545442182	3.015944579	3.6085856719	3.0605228212	2.8797894545	2.7207006252	2.8895754473	2.8994998412	2.7624707495	3.2573058705	3.2134613626	3.3250723568	3.2329603949			
American Samoa																																																			
Andorra																																			6.2912409774	6.5214098456	7.0622448194	7.5342278118	8.0234429945	8.1130828975	7.8984937491	7.7012151847	7.4149550573	7.5003718855	7.391626438	6.8405613842	6.6230372282	6.5278346271			
Angola	0.0899753903	0.2294064424	0.2196527183	0.229485393	0.2187586941	0.2814595707	0.176911908	0.2926844637	0.4792407316	0.6045321787	0.5638986226	0.7292836124	0.7720068381	0.7526790033	0.6651784376	0.4825531477	0.5057216121	0.753284674	0.7437831333	0.6999465858	0.6681303465	0.5676128272	0.602408922	0.5700831215	0.5185661959	0.4999444358	0.6081758933	0.5235000531	0.4982928241	0.428612841	0.409948923	0.4015969412	0.5101408314	0.3313208084	0.9096989245	0.8424892544	0.5770430144	0.5562630226	0.6776781389	0.6851413502	0.6764006782	0.8505987116	0.5878636516	1.1777171931	1.1617674573	1.3089679552	1.4351741108	1.3510882936			
Antigua and Barbuda	0.8603631245	1.8217238565	1.4675146158	1.5630061548	2.5123153533	5.7079073273	9.0752740012	15.6163152001	19.4920189685	7.0447192279	6.3913814346	5.5479019268	4.8404270922	6.23168429	10.1949150101	5.7698469461	6.6245003627	6.9666397289	5.771527827	2.0364099789	1.5270609859	4.2637675683	1.2441143498	2.1990674802	3.8003474868	3.8636483367	4.3304204062	4.5640747419	4.5990802676	4.8341532427	4.6747617682	4.5979749851	4.7216039731	4.6594663278	4.7011450715	4.5804968062	4.6647493156	4.4978703329	4.5846548661	4.4387812919	4.3541716668	4.509334592	4.7567428655	4.91365074	4.8942275609	5.0072040682	5.0779426311	5.1492731437			
Argentina	2.4416926196	2.5212509632	2.3151478894	2.5369291791	2.6401459001	2.7910163782	2.8565755737	2.9683398653	3.2743274317	3.4496776473	3.6486306326	3.6365329066	3.7294842727	3.7252974314	3.6401808048	3.7665599858	3.7469979844	3.7592691734	3.9947975607	3.8653939207	3.5726901971	3.566216821	3.5728626891	3.5626621607	3.3140942089	3.3823156378	3.6758187988	3.8284391031	3.6378148836	3.4499125402	3.5360727832	3.6209686857	3.4903476204	3.5836514978	3.5159061958	3.6618962282	3.7709135303	3.8100238547	3.9815032302	3.8200410396	3.7657855388	3.4895440039	3.7459101807	4.0427041673	4.1085648796	4.4979746745	4.6669221953	4.8440527389			
Armenia																																1.0671687044	0.869320102	0.9015550639	1.0830892416	0.8219057211	1.0457637975	1.0957003327	0.9895341523	1.1265294539	1.1554277662	0.9811196553	1.1202694022	1.1901599027	1.4185020388	1.4262607481	1.6449236398	1.801888352			
Aruba																										2.8682736052	7.2355490862	10.0278209894	10.6357781929	29.6206413825	29.8388354321	25.2392877017	24.4052333512	22.9778666528	22.2330963734	21.8071482743	21.745106328	19.2162000299	19.0726125596	24.7388751648	24.2182475667	23.8403843714	23.2795354839	22.8062920259	22.5111885619	22.1353116998	22.6229887263	21.6838314728			
Australia	8.6415690165	8.8356880469	9.2264399087	9.7590734306	10.6223213909	10.3280924384	10.9556247987	11.2101677076	11.6005543505	11.8028905413	11.8091175698	11.951631555	12.779686846	12.5596687313	12.6598998057	12.4167917765	13.2318961387	14.0698586154	14.1290919802	15.0249160087	15.4325008374	15.4249318092	14.6400841304	15.2209752959	15.3084102043	14.9805731534	15.7469578022	15.7961677817	16.5198629151	16.8373728838	16.2884898172	16.8308907116	17.1006280636	17.0236701204	17.0116171979	17.9815373273	18.0171550467	18.5405840415	17.1997916623	17.2090339895	16.7341230104	17.3726910042	17.4149047016	17.3506303845	18.0140556907	18.2328628025	18.071623348	18.5696190897			
Austria	4.4959168901	4.7552709677	5.1579330731	5.3975800416	5.2636992419	5.3720446086	5.4465294358	5.7525377615	6.0527351029	6.8263678966	6.991386193	7.4824378162	7.9656386866	7.5977292438	7.1985985971	7.735078125	7.4373299378	7.6107363961	8.1582250331	6.9252069376	7.4197976206	7.1122564035	6.8833940678	7.2232907839	7.2403228326	7.1488322538	7.625016374	7.0230654378	7.0914361716	7.9057373722	8.4484561218	7.7778376127	7.3420973506	7.2630108216	7.6225742849	7.6655129476	7.6977817159	7.9610924501	7.7173845997	7.7124737348	7.912096764	8.0556026318	8.9084366454	8.8222061972	9.0346635007	8.7083470974	8.2892838608	8.1235965151			
Azerbaijan																																5.9838366296	5.7752192128	5.5789372121	4.3703387118	4.0661517455	3.8232615463	3.9927804878	3.6702154578	3.7952386133	3.6294111907	3.6719841269	3.7845539257	3.8840251834	4.1101547335	4.6340199539	4.9219239509	5.3791091357			
Bahamas, The	4.7465338105	5.9960855562	5.557805874	8.1178679072	9.3990061615	7.4653194789	11.1723331346	10.2860177504	10.6262031011	15.1991474136	38.7209892164	36.4949479615	43.3800705273	39.9209307854	43.7042251284	33.5169712523	49.3051397839	32.797949115	33.6454682266	37.9410873694	13.0106719918	10.2754873108	8.9604723591	8.0709441972	6.441205186	5.9073639373	5.849446628	6.2250766949	7.7369939326	7.616676037	6.8322643716	6.7472766885	6.3396736621	6.2442289399	6.1865076812	6.1013899611	6.064491308	6.171169869	6.1119161326	6.0367006998	5.9575406325	6.8111484266	6.0288973923	6.384706058	6.6023866632	6.5969925879	6.5342561143	6.4622356224			
Bahrain	10.594398818	9.2369902608	6.747429023	8.7927493909	6.5921030743	3.402953852	5.1496737754	5.5238617142	6.1982697732	12.2361406092	13.8473798808	16.1296269523	23.1582518409	21.5617253663	21.6983066828	23.2951194884	24.7702074884	24.1388713633	23.8530295032	22.0353757574	22.9141918006	25.6356058731	20.8764575151	22.7450034459	24.4508297576	25.5590780907	25.6197331791	26.3173086909	24.5568823942	24.1123230085	22.7032160021	20.3778670607	28.4412542593	27.9734252167	28.6567901279	27.1717509054	29.2068295036	30.1105348662	28.7502301501	29.2122100995	21.6763412243	24.4497126482	25.4471772225	25.7163823389	25.655597973	24.8787111325	23.2046237954	21.3603057512			
Bangladesh												0.0512594832	0.0660698129	0.0669961836	0.0689944236	0.0773056173	0.0786327288	0.0791091939	0.0848613584	0.0947400393	0.0956970917	0.1009802599	0.0941699136	0.1015657915	0.1109037491	0.1208856491	0.1217574818	0.1353746118	0.1310285335	0.1475774128	0.1479134642	0.1610178329	0.1545312967	0.1648666208	0.1942009186	0.2003678403	0.2048203192	0.1926298598	0.1983465671	0.2150246456	0.2459311479	0.2509914839	0.2477710543	0.2866236543	0.2678235475	0.3276648602	0.3260024144	0.3198201794			
Barbados	0.8392608842	1.1198632199	0.8166478227	0.7663858736	0.8728317557	1.1347070094	1.4268301451	1.8569125727	2.0213038118	1.7982044737	2.0181870489	2.0815803103	1.977275066	2.0102768448	2.3138377991	2.1568575752	2.3889927487	2.5474637403	2.4239644338	2.7119728613	2.7460354963	2.5732409921	2.7209632684	2.9539416531	3.3294565264	3.5876132931	3.6726876642	3.6723947194	3.8288319644	4.1403732548	4.6339096066	3.7493451688	4.2567080971	2.8482963177	3.1461338719	3.2196248065	3.4029529817	4.288308309	4.5363587971	4.441342599	4.5531223899	4.569886873	4.7098508105	4.7952042438	5.0022476645	5.0595730866	4.9682127105	4.9714269968			
Belarus																																8.5637515662	7.2713254224	6.4451280923	6.0936805964	5.9209778543	5.8830757141	5.7202869203	5.562438864	5.3441806097	5.275266714	5.2786326448	5.4407253588	5.9261173632	6.0397743745	6.3506072438	6.210693053	6.5419402208			
Belgium	10.1236564477	10.6441656542	11.3952331143	11.0667687627	11.160131033	11.0650220867	11.245415507	12.362646194	12.8594858005	13.0338679187	12.5636355836	13.475630137	14.2609321216	13.8432253276	12.4655537519	13.2514339007	12.8863950316	13.820449237	14.2557094643	13.7396125724	12.5877256395	11.9270514407	10.3108330966	10.6987972191	10.5951674782	10.4306108294	10.4474204661	10.1347999394	10.8131852485	10.8824628288	11.7525801389	11.3861353907	10.8011867718	11.201177686	11.1451940455	11.7775794034	11.4227716334	11.6813519553	11.3283979073	11.2867913578	11.156420628	10.4065719539	11.0672995421	10.6785323905	10.222411698	10.1267034814	9.6491826421	9.7927293561			
Belize	0.3891049163	0.7133458099	0.6160389988	0.8063571781	0.7828488156	0.7291344521	1.067745404	0.8867640361	1.1498675141	1.0086603541	1.1749238196	1.279731194	1.1765416424	1.2182670287	1.3679326665	1.3394222316	1.4703208586	1.5639462778	1.4702859127	1.3060547945	1.2232072187	1.1202519696	1.0978622298	1.0639982689	1.1473164862	1.2051173709	1.2976826484	1.3868520578	1.6413427948	1.6491798942	1.8524020619	1.7874321608	1.8424439024	1.7726729858	1.7445773672	1.3875135135	1.6900086957	1.5529014675	2.4738296997	2.7597918335	2.7648581422	1.3550754148	1.3665838509	1.349497523	1.3572172721	1.3505504569	1.3655601926	1.3206209252			
